Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-02 9:36:33 AM,,,2,3,32,10,16,GPS,2019-12-02 09:36:33+00:00
Ruksana’s iPhone,2019-12-02 9:38:41 AM,,,0,0,16,5,16,GPS,2019-12-02 09:38:41+00:00
Ruksana’s iPhone,2019-12-02 9:40:00 AM,,,0,0,16,5,32,GPS,2019-12-02 09:40:00+00:00
Ruksana’s iPhone,2019-12-02 9:41:27 AM,,,0,0,16,5,16,GPS,2019-12-02 09:41:27+00:00
Ruksana’s iPhone,2019-12-02 9:43:38 AM,,,0,0,16,5,16,GPS,2019-12-02 09:43:38+00:00
Ruksana’s iPhone,2019-12-02 9:53:27 AM,,,17,27,16,5,8,GPS,2019-12-02 09:53:27+00:00
Ruksana’s iPhone,2019-12-02 9:54:46 AM,,,20,32,13,4,16,GPS,2019-12-02 09:54:46+00:00
Ruksana’s iPhone,2019-12-02 9:56:06 AM,,,7,11,13,4,16,GPS,2019-12-02 09:56:06+00:00
Ruksana’s iPhone,2019-12-02 9:57:27 AM,,,16,26,9,3,16,GPS,2019-12-02 09:57:27+00:00
Ruksana’s iPhone,2019-12-02 9:58:44 AM,,,0,0,19,6,32,GPS,2019-12-02 09:58:44+00:00
Ruksana’s iPhone,2019-12-02 10:00:05 AM,,,9,14,19,6,16,GPS,2019-12-02 10:00:05+00:00
Ruksana’s iPhone,2019-12-02 10:01:25 AM,,,0,0,22,7,16,GPS,2019-12-02 10:01:25+00:00
Ruksana’s iPhone,2019-12-02 10:02:57 AM,,,17,27,29,9,16,GPS,2019-12-02 10:02:57+00:00
Ruksana’s iPhone,2019-12-02 10:04:13 AM,,,,,29,9,48,GPS,2019-12-02 10:04:13+00:00
Ruksana’s iPhone,2019-12-02 10:05:33 AM,,,16,26,22,7,32,GPS,2019-12-02 10:05:33+00:00
Ruksana’s iPhone,2019-12-02 10:06:52 AM,,,13,21,19,6,32,GPS,2019-12-02 10:06:52+00:00
Ruksana’s iPhone,2019-12-02 10:08:49 AM,,,11,18,26,8,32,GPS,2019-12-02 10:08:49+00:00
Ruksana’s iPhone,2019-12-02 10:11:01 AM,,,2,3,32,10,16,GPS,2019-12-02 10:11:01+00:00
Ruksana’s iPhone,2019-12-02 10:12:38 AM,,,2,3,39,12,32,GPS,2019-12-02 10:12:38+00:00
Ruksana’s iPhone,2019-12-02 10:14:44 AM,,,,,39,12,65,GPS,2019-12-02 10:14:44+00:00
Ruksana’s iPhone,2019-12-02 10:16:47 AM,,,,,111,34,48,GPS,2019-12-02 10:16:47+00:00
Ruksana’s iPhone,2019-12-02 10:18:38 AM,,,,,62,19,32,GPS,2019-12-02 10:18:38+00:00
Ruksana’s iPhone,2019-12-02 10:21:27 AM,,,,,39,12,65,GPS,2019-12-02 10:21:27+00:00
Ruksana’s iPhone,2019-12-02 10:21:33 AM,,,,,39,12,65,GPS,2019-12-02 10:21:33+00:00
Ruksana’s iPhone,2019-12-02 1:51:47 PM,,,,,29,9,65,GPS,2019-12-02 13:51:47+00:00
Ruksana’s iPhone,2019-12-02 1:53:59 PM,,,,,-29,-9,48,GPS,2019-12-02 13:53:59+00:00
Ruksana’s iPhone,2019-12-02 1:55:55 PM,,,,,29,9,65,GPS,2019-12-02 13:55:55+00:00
Ruksana’s iPhone,2019-12-02 1:56:34 PM,,,,,26,8,65,GPS,2019-12-02 13:56:34+00:00
Ruksana’s iPhone,2019-12-02 2:02:25 PM,,,,,39,12,65,GPS,2019-12-02 14:02:25+00:00
Ruksana’s iPhone,2019-12-02 3:03:05 PM,,,,,32,10,65,GPS,2019-12-02 15:03:05+00:00
Ruksana’s iPhone,2019-12-02 3:05:14 PM,,,2,3,39,12,16,GPS,2019-12-02 15:05:14+00:00
Ruksana’s iPhone,2019-12-02 3:08:06 PM,,,,,39,12,65,GPS,2019-12-02 15:08:06+00:00
Ruksana’s iPhone,2019-12-02 3:10:45 PM,,,,,26,8,65,GPS,2019-12-02 15:10:45+00:00
Ruksana’s iPhone,2019-12-02 3:16:47 PM,,,,,26,8,65,GPS,2019-12-02 15:16:47+00:00
Ruksana’s iPhone,2019-12-02 4:01:31 PM,,,,,39,12,65,GPS,2019-12-02 16:01:31+00:00
Ruksana’s iPhone,2019-12-02 4:03:38 PM,,,2,3,26,8,32,GPS,2019-12-02 16:03:38+00:00
Ruksana’s iPhone,2019-12-02 4:05:37 PM,,,0,0,22,7,16,GPS,2019-12-02 16:05:37+00:00
Ruksana’s iPhone,2019-12-02 4:09:49 PM,,,0,0,22,7,16,GPS,2019-12-02 16:09:49+00:00
Ruksana’s iPhone,2019-12-02 4:16:21 PM,,,,,22,7,65,GPS,2019-12-02 16:16:21+00:00
Ruksana’s iPhone,2019-12-02 4:17:54 PM,,,0,0,22,7,16,GPS,2019-12-02 16:17:54+00:00
Ruksana’s iPhone,2019-12-02 4:19:13 PM,,,12,19,22,7,16,GPS,2019-12-02 16:19:13+00:00
Ruksana’s iPhone,2019-12-02 4:21:02 PM,,,0,0,26,8,32,GPS,2019-12-02 16:21:02+00:00
Ruksana’s iPhone,2019-12-02 4:21:58 PM,,,15,24,32,10,32,GPS,2019-12-02 16:21:58+00:00
